,cat_id,area_m2,N,K,source,divide_id
138,86825,7423199.55,9.1463,0.2448,regionalized,cat-86825
139,86826,6320700.432,10.0,0.1877,calibrated,cat-86826
140,86830,3979799.42,10.0,0.1652,regionalized,cat-86830
141,86831,3982950.005,10.0,0.1614,regionalized,cat-86831
142,86833,11715749.842,9.6753,0.2092,regionalized,cat-86833
143,86834,4031550.423,10.0,0.1831,calibrated,cat-86834
144,86835,5855400.099,9.1083,0.2472,regionalized,cat-86835
145,86836,4738500.229,9.9751,0.1896,regionalized,cat-86836
146,86837,4979249.721,9.5394,0.2165,regionalized,cat-86837
147,86838,9035550.256,8.9906,0.257,regionalized,cat-86838
148,86839,8425799.829,10.0,0.1829,calibrated,cat-86839
149,86863,3644100.194,9.34,0.2295,regionalized,cat-86863
150,86864,6351299.793,8.8841,0.2648,regionalized,cat-86864
151,86872,3744900.189,10.0,0.1853,calibrated,cat-86872
152,86876,3405600.266,10.0,0.1827,calibrated,cat-86876
153,86877,4844249.896,10.0,0.1888,calibrated,cat-86877
154,86878,9158849.856,8.6333,0.2865,regionalized,cat-86878
155,86879,3691800.009,9.1844,0.2406,regionalized,cat-86879
156,86880,8267400.418,10.0,0.1976,calibrated,cat-86880
157,86882,4243500.193,8.9234,0.2608,regionalized,cat-86882
158,86883,7102799.519,9.9798,0.1899,regionalized,cat-86883
159,86884,4060800.068,9.7591,0.2022,regionalized,cat-86884
160,86885,5444550.094,9.5162,0.2182,regionalized,cat-86885
161,86886,6979049.739,9.8025,0.2004,regionalized,cat-86886
162,86887,7578000.167,9.4966,0.2201,regionalized,cat-86887
163,86888,10899449.658,9.1874,0.2425,regionalized,cat-86888
164,86889,9247950.045,8.9644,0.2592,regionalized,cat-86889
165,86893,3248099.973,10.0,0.1485,regionalized,cat-86893
166,86894,3649050.095,10.0,0.1704,regionalized,cat-86894
167,86895,9436500.648,8.911,0.2635,regionalized,cat-86895
168,86896,6709500.175,9.9349,0.1925,regionalized,cat-86896
169,86897,12067199.834,8.1186,0.3359,regionalized,cat-86897
170,86898,3528450.522,10.0,0.1496,regionalized,cat-86898
171,86899,8026650.157,8.4372,0.3039,regionalized,cat-86899
172,86901,3856950.027,10.0,0.1876,calibrated,cat-86901
173,86902,3466799.798,10.0,0.1868,regionalized,cat-86902
174,86903,9236250.522,8.1654,0.3304,regionalized,cat-86903
175,86904,7056900.005,10.0,0.2214,calibrated,cat-86904
176,86905,17456400.036,7.7871,0.3726,regionalized,cat-86905
177,86907,3673799.869,10.0,0.1818,calibrated,cat-86907
178,86908,3172500.068,9.1673,0.2416,regionalized,cat-86908
179,86916,7456050.27,8.585,0.2903,regionalized,cat-86916
180,86917,5088599.91,9.428,0.224,regionalized,cat-86917
181,86918,7862851.112,8.8534,0.2677,regionalized,cat-86918
182,86920,3075749.208,10.0,0.1899,calibrated,cat-86920
183,86921,3960000.234,9.5932,0.2126,regionalized,cat-86921
184,86922,5300550.14,7.7198,0.3766,regionalized,cat-86922
185,86923,10094850.198,10.0,0.1891,calibrated,cat-86923
186,86926,5903099.401,10.0,0.1877,calibrated,cat-86926
187,86927,8488799.73,10.0,0.1854,calibrated,cat-86927
188,86929,4686300.342,9.1352,0.2447,regionalized,cat-86929
189,86931,7631549.946,10.0,0.1934,calibrated,cat-86931
190,86932,3694950.216,9.3087,0.2317,regionalized,cat-86932
191,86933,6250050.063,8.068,0.3393,regionalized,cat-86933
192,86934,11059199.851,8.0493,0.3428,regionalized,cat-86934
193,86935,17622899.987,8.0194,0.3472,regionalized,cat-86935
194,86937,8661150.104,7.7003,0.3804,regionalized,cat-86937
195,86938,4030200.126,9.4143,0.2245,regionalized,cat-86938
196,86940,5346899.955,10.0,0.1903,calibrated,cat-86940
197,86941,4350149.707,10.0,0.2,calibrated,cat-86941
198,86943,4388850.567,9.5237,0.2173,regionalized,cat-86943
199,86944,3466349.658,8.356,0.3093,regionalized,cat-86944
200,86945,5189399.987,8.2942,0.3162,regionalized,cat-86945
201,86947,5148900.054,9.3922,0.2559,calibrated,cat-86947
202,86948,5116949.937,8.8556,0.2666,regionalized,cat-86948
203,86949,5253300.328,9.6497,0.2095,regionalized,cat-86949
204,86950,4812749.946,9.3113,0.232,regionalized,cat-86950
205,86951,8073900.225,10.0,0.1532,regionalized,cat-86951
206,86952,9430199.438,10.0,0.1848,regionalized,cat-86952
207,86953,8713350.099,10.0,0.1794,regionalized,cat-86953
208,86954,8661149.806,10.0,0.1842,calibrated,cat-86954
209,86955,9328049.982,9.4012,0.227,regionalized,cat-86955
210,86958,5900400.144,9.6739,0.2081,regionalized,cat-86958
211,86959,12194549.933,9.2241,0.24,regionalized,cat-86959
212,86960,5151150.319,10.0,0.1865,calibrated,cat-86960
213,86961,7035749.766,9.5105,0.219,regionalized,cat-86961
214,86962,13195350.153,9.8175,0.2005,regionalized,cat-86962
215,86963,6834601.089,9.8212,0.1992,regionalized,cat-86963
216,86964,3070799.536,8.9055,0.2615,regionalized,cat-86964
217,86965,5432850.004,8.0851,0.3372,regionalized,cat-86965
218,86966,1907549.784,9.8334,0.1965,regionalized,cat-86966
219,86967,5016150.036,9.7147,0.2053,regionalized,cat-86967
220,86971,10578150.036,10.0,0.2114,calibrated,cat-86971
221,86973,3399300.135,10.0,0.1797,calibrated,cat-86973
222,86974,6771148.537,9.2184,0.2393,regionalized,cat-86974
223,86975,8344349.852,8.1044,0.3363,regionalized,cat-86975
224,86976,3622050.081,10.0,0.1683,regionalized,cat-86976
225,86977,11978550.446,10.0,0.2057,calibrated,cat-86977
226,86983,13062149.577,8.2845,0.3196,regionalized,cat-86983
227,86987,3165749.865,9.7363,0.2032,regionalized,cat-86987
228,86988,3441599.235,9.389,0.2259,regionalized,cat-86988
229,86989,7891650.711,8.2592,0.3195,calibrated,cat-86989
230,86990,8654850.162,9.4746,0.2218,regionalized,cat-86990
231,86991,7047449.383,9.0136,0.2548,regionalized,cat-86991
232,86992,10160999.401,10.0,0.1903,calibrated,cat-86992
233,86995,6662699.842,9.8927,0.1949,regionalized,cat-86995
234,86997,6689250.675,9.6763,0.2082,regionalized,cat-86997
235,86998,7538850.072,8.4424,0.3032,regionalized,cat-86998
236,86999,8477100.194,8.89,0.2649,regionalized,cat-86999
237,87001,7087050.09,9.3124,0.2327,regionalized,cat-87001
238,87002,4575600.274,9.6953,0.2063,regionalized,cat-87002
239,87003,3339900.594,9.6526,0.2085,regionalized,cat-87003
240,87006,5297399.784,8.9569,0.2585,regionalized,cat-87006
241,87007,3039300.234,10.0,0.187,regionalized,cat-87007
242,87008,5954850.081,10.0,0.1862,regionalized,cat-87008
243,87009,5542199.977,10.0,0.1944,calibrated,cat-87009
244,87010,7659449.752,8.8735,0.266,regionalized,cat-87010
245,87011,6394499.996,8.5057,0.2971,regionalized,cat-87011
246,87012,7843950.315,10.0,0.187,calibrated,cat-87012
247,87015,3269699.662,9.5139,0.2175,regionalized,cat-87015
248,87016,3294899.442,10.0,0.1761,regionalized,cat-87016
249,87017,5877000.409,9.397,0.2264,regionalized,cat-87017
250,87019,7110450.432,9.0152,0.2546,regionalized,cat-87019
251,87021,4463550.018,10.0,0.1872,calibrated,cat-87021
252,87022,4394700.355,10.0,0.1764,regionalized,cat-87022
253,87023,4439250.342,9.8564,0.1964,regionalized,cat-87023
254,87026,11071350.054,9.6526,0.2105,regionalized,cat-87026
255,87027,4074749.924,10.0,0.1733,regionalized,cat-87027
256,87028,10370250.13,10.0,0.2121,calibrated,cat-87028
257,87029,3164850.139,10.0,0.1772,regionalized,cat-87029
258,87030,14246999.991,8.8179,0.2719,regionalized,cat-87030
259,87031,11706301.057,7.0188,0.469,regionalized,cat-87031
260,87032,5468850.121,9.6521,0.2093,regionalized,cat-87032
261,87036,3114449.851,9.5203,0.2169,regionalized,cat-87036
262,87037,6659999.91,8.4449,0.3027,regionalized,cat-87037
263,87058,6661800.373,10.0,0.1803,regionalized,cat-87058
264,87060,14117850.184,10.0,0.1521,regionalized,cat-87060
265,87061,9551249.771,7.6324,0.3502,calibrated,cat-87061
266,87062,4035600.369,9.4804,0.2201,regionalized,cat-87062
267,87063,7625699.212,8.4688,0.3009,regionalized,cat-87063
268,87064,3657600.261,9.9183,0.1925,regionalized,cat-87064
269,87065,6209999.744,10.0,0.1879,regionalized,cat-87065
270,87066,7268400.27,9.3472,0.2303,regionalized,cat-87066
271,87067,3047400.41,9.8458,0.1965,regionalized,cat-87067
272,87071,3511799.626,10.0,0.182,calibrated,cat-87071
273,87072,4633199.581,10.0,0.1981,calibrated,cat-87072
274,87073,3325499.816,9.6384,0.2094,regionalized,cat-87073
275,87074,11538000.657,8.9216,0.2629,regionalized,cat-87074
276,87075,12796199.982,9.2438,0.2387,regionalized,cat-87075
277,87077,3864599.482,9.7449,0.203,regionalized,cat-87077
278,87078,5092649.802,10.0,0.1483,regionalized,cat-87078
279,87080,6736500.283,9.7393,0.2043,regionalized,cat-87080
280,87081,7339500.009,10.0,0.1607,regionalized,cat-87081
281,87083,4369950.014,10.0,0.1616,regionalized,cat-87083
282,87084,8828100.544,8.2467,0.322,regionalized,cat-87084
283,87085,10660050.315,9.5013,0.2204,regionalized,cat-87085
284,87092,7380449.811,8.9959,0.2562,regionalized,cat-87092
285,87093,7825949.487,10.0,0.1849,calibrated,cat-87093
286,87095,3220200.612,10.0,0.1865,calibrated,cat-87095
287,87096,3844350.157,10.0,0.1354,regionalized,cat-87096
288,87097,10291949.294,9.0603,0.252,regionalized,cat-87097
289,87098,10374750.162,10.0,0.174,regionalized,cat-87098
290,87099,3330449.919,9.1971,0.2394,regionalized,cat-87099
291,87101,6057900.274,10.0,0.1872,calibrated,cat-87101
292,87102,7851150.482,9.8621,0.197,regionalized,cat-87102
293,87103,8725950.414,9.2146,0.2401,regionalized,cat-87103
294,87104,3305699.644,10.0,0.19,calibrated,cat-87104
295,87106,5467950.193,10.0,0.1881,calibrated,cat-87106
296,87107,4300649.726,10.0,0.182,calibrated,cat-87107
297,87109,10183950.117,9.651,0.2105,regionalized,cat-87109
298,87110,9296100.122,10.0,0.1903,calibrated,cat-87110
299,87115,9637198.605,8.2648,0.3207,regionalized,cat-87115
300,87116,5668649.447,9.5859,0.2137,regionalized,cat-87116
301,87118,3304350.198,10.0,0.1876,calibrated,cat-87118
302,87119,3675599.861,10.0,0.1849,calibrated,cat-87119
303,87121,3415500.068,10.0,0.1883,calibrated,cat-87121
304,87122,3547350.738,9.4268,0.2234,regionalized,cat-87122
305,87123,9008999.964,10.0,0.1859,regionalized,cat-87123
306,87153,4549050.131,8.9965,0.2552,regionalized,cat-87153
307,87155,3287249.946,10.0,0.1855,calibrated,cat-87155
308,87156,5536350.067,10.0,0.189,calibrated,cat-87156
309,87158,3667949.204,9.1616,0.2423,regionalized,cat-87158
310,87159,46151550.004,5.6129,0.5077,calibrated,cat-87159
311,87161,15279749.113,8.4008,0.3087,regionalized,cat-87161
312,87163,14612400.567,8.3792,0.3107,regionalized,cat-87163
313,87165,5836949.753,8.2719,0.3186,regionalized,cat-87165
314,87166,3500999.802,10.0,0.1803,calibrated,cat-87166
315,87168,3089700.063,10.0,0.1815,calibrated,cat-87168
316,87169,5051250.104,10.0,0.1745,regionalized,cat-87169
317,87170,5012100.455,9.1768,0.2418,regionalized,cat-87170
318,87171,7677449.258,9.2547,0.2369,regionalized,cat-87171
319,87172,5767199.959,10.0,0.1838,calibrated,cat-87172
320,87174,10278450.509,8.6173,0.2883,regionalized,cat-87174
321,87175,6490349.942,9.3865,0.2273,regionalized,cat-87175
322,87177,4000950.13,9.8333,0.1976,regionalized,cat-87177
323,87178,6400350.594,8.4973,0.2978,regionalized,cat-87178
324,87179,7285050.922,9.5016,0.2195,regionalized,cat-87179
325,87180,6836849.843,8.9398,0.2605,regionalized,cat-87180
326,87182,6911549.617,10.0,0.1801,calibrated,cat-87182
327,87183,49662900.018,10.0,0.1903,calibrated,cat-87183
328,87184,13392449.694,9.1246,0.2476,regionalized,cat-87184
329,87186,51378300.027,10.0,0.239,calibrated,cat-87186
330,87187,11444850.778,9.5014,0.2205,regionalized,cat-87187
331,87189,3475349.802,10.0,0.1386,regionalized,cat-87189
332,87191,4616550.225,10.0,0.1878,calibrated,cat-87191
333,87192,4451400.248,10.0,0.1716,regionalized,cat-87192
334,87193,10741950.553,9.1749,0.2434,regionalized,cat-87193
335,87194,8705699.725,8.885,0.2654,regionalized,cat-87194
336,87195,33471899.973,7.1613,0.453,regionalized,cat-87195
337,87196,7477199.806,10.0,0.1849,calibrated,cat-87196
338,87199,3149550.027,9.9639,0.1896,regionalized,cat-87199
339,87200,3143250.599,10.0,0.1649,regionalized,cat-87200
340,87201,3933900.432,9.9185,0.1926,regionalized,cat-87201
341,87202,3487049.784,10.0,0.1302,regionalized,cat-87202
342,87204,5962049.748,10.0,0.1903,calibrated,cat-87204
343,87205,10128149.707,9.3417,0.2313,regionalized,cat-87205
344,87207,4704299.672,10.0,0.1853,calibrated,cat-87207
345,87208,4873950.194,8.4009,0.306,regionalized,cat-87208
346,87210,24245999.73,10.0,0.1939,calibrated,cat-87210
347,87213,5567400.432,8.9353,0.2604,regionalized,cat-87213
348,87214,10772999.919,10.0,0.1865,calibrated,cat-87214
349,87215,5676299.24,10.0,0.1564,regionalized,cat-87215
350,87216,6345450.504,10.0,0.1806,regionalized,cat-87216
351,87218,5521949.573,10.0,0.1743,regionalized,cat-87218
352,87219,7986150.117,9.7187,0.2058,regionalized,cat-87219
353,87221,5219099.433,10.0,0.1863,calibrated,cat-87221
354,87225,4446900.27,10.0,0.1866,calibrated,cat-87225
355,87227,5213700.202,10.0,0.1868,calibrated,cat-87227
356,87228,3904199.96,10.0,0.1832,calibrated,cat-87228
357,87229,6960150.266,10.0,0.1581,regionalized,cat-87229
358,87233,3010499.879,10.0,0.1838,calibrated,cat-87233
359,87235,6325650.441,9.5447,0.2166,regionalized,cat-87235
360,87236,3135600.117,10.0,0.1569,regionalized,cat-87236
361,87237,5591700.473,10.0,0.177,regionalized,cat-87237
362,87240,22468050.905,9.4168,0.2275,regionalized,cat-87240
363,87241,3955049.455,10.0,0.1401,regionalized,cat-87241
364,87242,6946200.193,8.9514,0.2596,regionalized,cat-87242
365,87243,5389650.193,9.9905,0.1889,regionalized,cat-87243
366,87247,9755099.514,8.8136,0.2713,regionalized,cat-87247
367,87249,13576500.022,8.809,0.2725,regionalized,cat-87249
368,87250,11619449.635,9.2894,0.2351,regionalized,cat-87250
369,87251,6710400.252,8.4757,0.2998,regionalized,cat-87251
370,87254,6004799.987,10.0,0.172,regionalized,cat-87254
371,87255,3955950.275,10.0,0.1044,regionalized,cat-87255
372,87256,3649499.451,9.3928,0.2258,regionalized,cat-87256
373,87258,3003749.757,10.0,0.1477,regionalized,cat-87258
374,87259,4398750.464,10.0,0.1512,regionalized,cat-87259
375,87262,7927200.607,10.0,0.1838,regionalized,cat-87262
376,87263,4355100.014,10.0,0.1726,regionalized,cat-87263
377,87264,8120700.288,9.312,0.233,regionalized,cat-87264
378,87265,4300650.522,9.2879,0.2334,regionalized,cat-87265
379,87266,5625899.87,9.975,0.1898,regionalized,cat-87266
380,87267,22987350.063,7.6521,0.3465,calibrated,cat-87267
381,87270,20469599.82,8.3715,0.3124,regionalized,cat-87270
382,87273,6856199.334,9.3394,0.2307,regionalized,cat-87273
383,87274,3190950.454,10.0,0.1394,regionalized,cat-87274
384,87283,822150.243,10.0,0.1054,regionalized,cat-87283
385,87285,3563099.788,10.0,0.1871,calibrated,cat-87285
386,87286,3552300.301,10.0,0.1864,calibrated,cat-87286
387,87287,3146399.618,9.2992,0.2319,regionalized,cat-87287
388,87288,4168799.447,10.0,0.1869,calibrated,cat-87288
389,87290,18308249.523,8.6856,0.2837,regionalized,cat-87290
390,87291,7500599.757,10.0,0.1869,regionalized,cat-87291
391,87304,3082049.608,10.0,0.1639,regionalized,cat-87304
392,87305,14279399.748,9.5684,0.2164,regionalized,cat-87305
393,87306,3800700.247,10.0,0.1249,regionalized,cat-87306
394,87307,6179849.86,9.949,0.1915,regionalized,cat-87307
395,87308,10182599.752,9.6908,0.208,regionalized,cat-87308
396,87311,7977150.392,9.7987,0.2008,regionalized,cat-87311
397,87312,8249849.568,10.0,0.1903,calibrated,cat-87312
398,87314,3376349.77,10.0,0.1644,regionalized,cat-87314
399,87315,3728250.158,10.0,0.1838,calibrated,cat-87315
400,87317,4396949.649,10.0,0.1841,calibrated,cat-87317
401,87318,3448350.49,9.9824,0.1887,regionalized,cat-87318
402,87319,11598749.955,9.3921,0.228,regionalized,cat-87319
403,87320,5054849.627,10.0,0.1845,calibrated,cat-87320
404,87322,3400649.676,10.0,0.1829,calibrated,cat-87322
405,87323,10656449.928,10.0,0.17,regionalized,cat-87323
406,87325,7842600.058,10.0,0.1649,regionalized,cat-87325
407,87326,4819049.995,10.0,0.1611,regionalized,cat-87326
408,87329,4902299.451,10.0,0.1592,regionalized,cat-87329
409,87330,11348549.181,9.4444,0.2243,regionalized,cat-87330
410,87331,19535850.419,7.9351,0.3566,regionalized,cat-87331
411,87333,8462250.166,8.5669,0.2923,regionalized,cat-87333
412,87334,4157999.757,10.0,0.1399,regionalized,cat-87334
413,87339,9986850.454,9.7245,0.2058,regionalized,cat-87339
414,87341,3249900.477,10.0,0.1823,calibrated,cat-87341
415,87342,10955250.148,10.0,0.1903,calibrated,cat-87342
416,87345,6777449.518,9.1863,0.2417,regionalized,cat-87345
417,87346,1626750.202,10.0,0.1537,regionalized,cat-87346
418,87347,5886449.64,9.5667,0.215,regionalized,cat-87347
419,87348,7326900.598,9.9434,0.1921,regionalized,cat-87348
420,87349,4311899.798,10.0,0.1303,regionalized,cat-87349
421,87351,6643349.716,10.0,0.1903,calibrated,cat-87351
422,87352,3340349.883,10.0,0.1498,regionalized,cat-87352
423,87354,6271649.388,10.0,0.1815,calibrated,cat-87354
424,87355,7375500.409,10.0,0.1833,calibrated,cat-87355
425,87358,8951851.066,10.0,0.182,regionalized,cat-87358
426,87359,8328599.95,10.0,0.171,regionalized,cat-87359
427,87360,3001950.09,10.0,0.1488,regionalized,cat-87360
428,87361,13055850.081,10.0,0.2034,calibrated,cat-87361
429,87363,3004649.712,10.0,0.1429,regionalized,cat-87363
430,87364,3656700.05,10.0,0.1584,regionalized,cat-87364
431,87365,3315150.077,10.0,0.1537,regionalized,cat-87365
432,87366,3063600.274,10.0,0.1405,regionalized,cat-87366
433,87367,4747499.847,10.0,0.1683,regionalized,cat-87367
434,87373,4830750.356,9.4506,0.2224,regionalized,cat-87373
435,87374,3795300.423,10.0,0.1376,regionalized,cat-87374
436,87375,4555800.077,10.0,0.1651,regionalized,cat-87375
437,87376,12961349.703,8.1398,0.3339,regionalized,cat-87376
438,87377,3119850.27,10.0,0.1855,calibrated,cat-87377
439,87378,5994449.924,10.0,0.1883,regionalized,cat-87378
440,87379,6226200.783,10.0,0.1967,calibrated,cat-87379
441,87433,3014550.054,9.8421,0.1967,regionalized,cat-87433
442,87434,10335599.676,8.9938,0.2571,regionalized,cat-87434
443,87435,3384450.013,10.0,0.1655,regionalized,cat-87435
